Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN02430,1,0,2,0,Not Selected,0,Room_Type 1,44,2018,10,2,Online,0,0,0,102.6,1,Not_Canceled
INN16631,1,0,0,1,Meal Plan 1,1,Room_Type 1,1,2018,6,1,Corporate,1,2,5,67.0,0,Not_Canceled
INN03816,2,1,1,2,Meal Plan 1,0,Room_Type 1,40,2018,6,27,Online,0,0,0,128.1,0,Canceled
INN29958,2,0,2,2,Meal Plan 1,0,Room_Type 4,47,2018,4,1,Online,0,0,0,103.28,0,Not_Canceled
INN34341,2,0,0,3,Meal Plan 1,0,Room_Type 1,11,2018,6,21,Online,0,0,0,124.33,1,Not_Canceled
INN25474,1,0,0,3,Meal Plan 1,0,Room_Type 1,113,2018,5,31,Corporate,0,0,0,100.0,0,Canceled
INN18647,2,0,0,2,Meal Plan 1,0,Room_Type 4,89,2018,7,14,Online,0,0,0,127.8,1,Canceled
INN26823,2,0,0,2,Meal Plan 1,0,Room_Type 1,22,2018,5,20,Offline,0,0,0,140.0,0,Not_Canceled
INN00836,1,0,0,3,Meal Plan 1,0,Room_Type 6,159,2018,5,26,Online,0,0,0,187.85,0,Canceled
INN13257,1,0,0,1,Meal Plan 1,0,Room_Type 4,3,2018,4,29,Offline,0,0,0,127.8,0,Not_Canceled
INN32716,2,0,0,2,Meal Plan 1,1,Room_Type 1,18,2018,6,8,Online,0,0,0,121.0,2,Not_Canceled
INN08625,3,1,0,1,Meal Plan 1,0,Room_Type 6,31,2018,8,25,Online,0,0,0,225.4,1,Not_Canceled
INN32145,3,0,1,3,Meal Plan 1,0,Room_Type 4,42,2018,8,29,Online,0,0,0,144.23,0,Canceled
INN01174,2,0,0,3,Meal Plan 1,0,Room_Type 1,112,2018,6,2,Online,0,0,0,120.0,1,Canceled
INN25495,2,0,2,5,Meal Plan 1,0,Room_Type 5,49,2018,2,22,Offline,1,1,0,91.44,0,Canceled
INN22822,1,0,1,2,Meal Plan 1,0,Room_Type 1,91,2018,9,30,Offline,0,0,0,75.0,0,Not_Canceled
INN32991,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,101.5,0,Not_Canceled
INN23642,2,0,0,1,Meal Plan 1,0,Room_Type 1,15,2018,12,3,Online,0,0,0,111.0,0,Not_Canceled
INN08103,1,0,1,0,Meal Plan 1,0,Room_Type 1,1,2017,12,14,Online,0,0,0,81.0,0,Not_Canceled
INN16118,2,0,2,2,Meal Plan 1,0,Room_Type 1,102,2018,3,25,Offline,0,0,0,58.0,0,Not_Canceled
INN21674,2,0,2,2,Meal Plan 1,0,Room_Type 1,134,2017,12,4,Offline,0,0,0,65.0,0,Not_Canceled
INN28334,1,0,0,1,Meal Plan 1,0,Room_Type 1,34,2018,1,26,Corporate,0,0,0,59.0,0,Not_Canceled
INN08099,2,0,1,2,Meal Plan 1,0,Room_Type 1,209,2018,4,25,Online,0,0,0,81.77,1,Not_Canceled
INN04952,1,0,0,1,Meal Plan 1,0,Room_Type 1,14,2018,3,16,Offline,0,0,0,82.4,0,Not_Canceled
INN15195,2,0,1,1,Meal Plan 1,0,Room_Type 2,0,2017,12,5,Online,0,0,0,73.0,1,Not_Canceled
INN16635,2,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,9,29,Online,0,0,0,106.2,1,Not_Canceled
INN29154,2,0,1,0,Not Selected,0,Room_Type 1,50,2018,10,9,Online,0,0,0,97.2,2,Not_Canceled
INN24337,1,0,2,3,Meal Plan 1,0,Room_Type 1,115,2018,2,27,Offline,0,0,0,76.0,0,Not_Canceled
INN36094,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,109.0,0,Not_Canceled
INN23719,2,1,0,2,Meal Plan 1,0,Room_Type 4,311,2018,11,10,Complementary,0,0,0,9.0,2,Not_Canceled
INN19178,2,0,1,3,Meal Plan 2,0,Room_Type 1,99,2018,7,18,Online,0,0,0,141.75,2,Not_Canceled
INN34813,1,0,2,1,Meal Plan 1,0,Room_Type 1,20,2017,10,11,Corporate,0,0,0,65.0,0,Not_Canceled
INN29475,2,0,0,2,Meal Plan 1,0,Room_Type 1,112,2018,8,16,Online,0,0,0,117.9,1,Not_Canceled
INN07796,2,0,0,2,Meal Plan 1,0,Room_Type 4,57,2018,4,22,Online,0,0,0,118.8,0,Canceled
INN35802,2,0,1,1,Meal Plan 2,0,Room_Type 1,301,2018,7,30,Offline,0,0,0,115.0,1,Canceled
INN03408,2,0,1,1,Meal Plan 1,0,Room_Type 1,84,2018,10,3,Online,0,0,0,118.8,3,Not_Canceled
INN27306,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2017,10,2,Offline,0,0,0,100.0,0,Not_Canceled
INN27676,3,0,0,3,Meal Plan 1,0,Room_Type 1,54,2018,12,20,Offline,0,0,0,98.1,1,Not_Canceled
INN25010,2,0,1,2,Meal Plan 1,0,Room_Type 4,51,2018,4,1,Online,0,0,0,106.2,0,Not_Canceled
INN30684,2,0,1,5,Meal Plan 1,0,Room_Type 1,5,2017,8,10,Online,0,0,0,90.0,2,Not_Canceled
INN23807,2,0,0,2,Not Selected,0,Room_Type 1,117,2018,5,3,Online,0,0,0,94.5,1,Not_Canceled
INN15785,2,0,1,2,Meal Plan 2,0,Room_Type 1,105,2017,10,12,Offline,0,0,0,110.0,0,Canceled
INN08964,2,0,0,2,Meal Plan 1,0,Room_Type 1,32,2018,11,11,Online,0,0,0,130.0,1,Canceled
INN01998,2,0,2,2,Meal Plan 1,0,Room_Type 1,229,2018,10,22,Online,0,0,0,89.25,0,Canceled
INN33215,2,0,0,4,Meal Plan 1,0,Room_Type 4,25,2018,5,31,Online,0,0,0,146.11,0,Canceled
INN32209,2,0,1,5,Meal Plan 1,0,Room_Type 1,180,2018,5,23,Offline,0,0,0,80.75,0,Not_Canceled
INN12279,1,0,2,2,Meal Plan 1,1,Room_Type 1,31,2018,11,13,Corporate,1,0,2,67.0,0,Not_Canceled
INN27711,1,0,1,0,Meal Plan 1,0,Room_Type 1,2,2018,1,4,Online,0,0,0,76.0,1,Not_Canceled
INN05630,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Online,0,0,0,130.0,0,Canceled
INN04003,2,0,0,2,Not Selected,0,Room_Type 2,99,2018,4,8,Online,0,0,0,85.5,1,Canceled
INN32462,2,0,2,2,Not Selected,0,Room_Type 1,54,2018,11,18,Online,0,0,0,74.8,1,Not_Canceled
INN04754,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2018,2,17,Offline,0,0,0,75.0,0,Not_Canceled
INN35389,2,0,2,4,Meal Plan 1,0,Room_Type 4,29,2018,3,12,Online,0,0,0,100.33,0,Not_Canceled
INN16957,2,0,0,3,Meal Plan 1,1,Room_Type 1,104,2018,5,17,Online,0,0,0,135.9,1,Not_Canceled
INN30873,2,0,0,1,Meal Plan 1,0,Room_Type 4,2,2018,7,30,Online,0,0,0,156.0,0,Not_Canceled
INN20581,2,0,2,1,Meal Plan 1,0,Room_Type 4,27,2018,6,26,Online,0,0,0,152.67,0,Canceled
INN26020,2,1,1,0,Meal Plan 1,0,Room_Type 1,32,2018,4,11,Online,0,0,0,121.5,0,Canceled
INN03682,2,1,1,3,Meal Plan 1,0,Room_Type 1,40,2018,3,10,Online,0,0,0,98.1,2,Not_Canceled
INN19404,2,0,0,3,Meal Plan 1,0,Room_Type 1,19,2017,10,6,Offline,1,1,0,90.0,0,Not_Canceled
INN20695,3,0,1,2,Meal Plan 1,0,Room_Type 1,75,2018,11,7,Online,0,0,0,157.25,3,Not_Canceled
INN07449,2,0,0,3,Meal Plan 1,0,Room_Type 1,160,2017,12,30,Offline,0,0,0,70.0,0,Not_Canceled
INN29488,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,109.0,0,Not_Canceled
INN13136,2,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,4,8,Online,0,0,0,101.0,1,Not_Canceled
INN03986,2,0,1,2,Meal Plan 1,0,Room_Type 1,39,2018,3,14,Online,0,0,0,81.9,0,Not_Canceled
INN31975,1,0,0,3,Meal Plan 2,0,Room_Type 1,88,2018,5,3,Offline,0,0,0,96.0,0,Not_Canceled
INN31261,2,0,2,5,Meal Plan 2,0,Room_Type 1,159,2018,7,22,Online,0,0,0,132.96,1,Canceled
INN09206,2,0,1,3,Not Selected,0,Room_Type 1,19,2018,11,24,Online,0,0,0,74.8,2,Not_Canceled
INN30658,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,2018,6,24,Offline,0,0,0,115.0,1,Canceled
INN18954,2,0,0,3,Meal Plan 1,0,Room_Type 4,54,2018,3,31,Online,0,0,0,104.4,2,Not_Canceled
INN20787,2,0,0,2,Meal Plan 2,0,Room_Type 1,346,2018,9,13,Offline,0,0,0,115.0,1,Canceled
INN04278,2,0,2,3,Meal Plan 1,0,Room_Type 1,73,2018,5,12,Online,0,0,0,119.85,1,Not_Canceled
INN03667,2,0,0,1,Meal Plan 1,0,Room_Type 1,56,2018,6,8,Offline,0,0,0,120.0,0,Not_Canceled
INN08413,1,0,2,1,Meal Plan 2,0,Room_Type 1,23,2018,1,2,Offline,0,0,0,79.0,0,Not_Canceled
INN22277,2,0,0,3,Meal Plan 1,0,Room_Type 1,43,2017,10,29,Online,0,0,0,96.3,3,Not_Canceled
INN18831,2,0,2,3,Meal Plan 1,0,Room_Type 1,21,2017,12,25,Offline,0,0,0,58.0,1,Not_Canceled
INN23206,2,1,0,4,Meal Plan 1,0,Room_Type 1,161,2018,7,27,Online,0,0,0,114.75,2,Canceled
INN29220,1,0,0,3,Meal Plan 1,0,Room_Type 1,19,2017,10,6,Offline,1,1,0,80.0,0,Not_Canceled
INN06521,2,0,2,1,Not Selected,0,Room_Type 1,96,2018,8,27,Offline,0,0,0,63.75,0,Not_Canceled
INN34777,1,0,2,2,Meal Plan 1,0,Room_Type 1,124,2018,11,6,Online,0,0,0,146.03,3,Not_Canceled
INN28234,1,0,0,1,Meal Plan 1,0,Room_Type 1,45,2018,4,7,Online,0,0,0,112.5,0,Canceled
INN22835,2,0,0,1,Meal Plan 1,0,Room_Type 1,9,2018,4,12,Online,0,0,0,131.0,1,Not_Canceled
INN25344,1,0,1,3,Not Selected,0,Room_Type 1,69,2018,11,7,Online,0,0,0,173.0,1,Canceled
INN19557,2,0,0,2,Meal Plan 1,0,Room_Type 1,18,2018,6,17,Online,0,0,0,150.0,0,Canceled
INN17608,1,0,0,3,Meal Plan 1,0,Room_Type 1,163,2018,10,5,Offline,0,0,0,100.8,0,Canceled
INN15465,1,0,1,4,Meal Plan 1,0,Room_Type 1,179,2018,7,4,Online,0,0,0,66.76,1,Not_Canceled
INN11832,2,2,0,2,Meal Plan 1,0,Room_Type 6,39,2018,7,20,Online,0,0,0,198.9,0,Canceled
INN28743,2,0,2,1,Meal Plan 2,0,Room_Type 1,220,2018,9,17,Offline,0,0,0,172.0,0,Canceled
INN16929,1,0,0,1,Not Selected,0,Room_Type 1,183,2018,10,11,Online,0,0,0,98.1,0,Canceled
INN01205,2,0,0,2,Meal Plan 1,0,Room_Type 1,30,2018,3,4,Online,0,0,0,88.4,0,Not_Canceled
INN02884,2,0,0,3,Meal Plan 1,0,Room_Type 4,261,2018,10,13,Offline,0,0,0,90.95,2,Not_Canceled
INN08614,2,0,0,1,Meal Plan 1,0,Room_Type 1,43,2017,10,23,Online,0,0,0,0.0,0,Not_Canceled
INN09258,2,0,1,2,Meal Plan 1,0,Room_Type 1,233,2018,10,14,Offline,0,0,0,90.0,0,Canceled
INN07243,1,0,2,5,Not Selected,0,Room_Type 1,101,2018,7,3,Online,0,0,0,103.5,0,Canceled
INN02638,2,0,0,2,Meal Plan 1,0,Room_Type 1,4,2017,8,19,Online,0,0,0,106.0,1,Not_Canceled
INN25146,2,0,0,3,Meal Plan 1,0,Room_Type 1,193,2017,10,15,Offline,0,0,0,65.0,0,Canceled
INN29663,2,0,0,3,Not Selected,0,Room_Type 1,7,2018,1,20,Online,0,0,0,79.67,1,Not_Canceled
INN34690,2,0,0,3,Meal Plan 1,0,Room_Type 1,72,2018,3,31,Online,0,0,0,67.22,1,Not_Canceled
INN19050,2,0,1,1,Meal Plan 1,0,Room_Type 1,35,2017,10,26,Offline,0,0,0,76.5,1,Not_Canceled
INN18253,1,0,0,1,Meal Plan 1,0,Room_Type 1,54,2017,11,18,Corporate,0,0,0,65.0,0,Not_Canceled
INN35068,2,0,2,6,Not Selected,0,Room_Type 1,67,2018,12,17,Online,0,0,0,74.8,1,Not_Canceled
INN00878,1,0,0,2,Meal Plan 1,0,Room_Type 1,181,2018,10,11,Online,0,0,0,120.0,0,Canceled
INN27106,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,11,10,Complementary,0,0,0,0.0,0,Not_Canceled
INN24773,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,11,17,Online,0,0,0,91.0,0,Not_Canceled
INN36057,2,0,0,1,Meal Plan 1,1,Room_Type 1,95,2018,6,4,Online,0,0,0,106.71,1,Not_Canceled
INN27960,2,0,0,2,Meal Plan 1,0,Room_Type 1,69,2018,4,27,Online,0,0,0,105.3,0,Canceled
INN04380,2,0,0,3,Meal Plan 1,0,Room_Type 1,24,2018,12,7,Online,0,0,0,106.33,1,Not_Canceled
INN11958,2,0,1,0,Meal Plan 1,0,Room_Type 1,82,2018,4,25,Online,0,0,0,74.15,1,Canceled
INN19188,2,0,1,1,Not Selected,1,Room_Type 1,120,2018,5,2,Online,0,0,0,103.5,1,Not_Canceled
INN27574,2,0,1,2,Not Selected,0,Room_Type 1,15,2018,4,15,Online,0,0,0,106.33,0,Canceled
INN03909,2,0,0,2,Meal Plan 1,0,Room_Type 1,8,2018,3,18,Online,0,0,0,125.0,1,Not_Canceled
INN10764,2,0,0,3,Meal Plan 1,0,Room_Type 1,2,2018,12,14,Corporate,1,0,1,86.0,1,Not_Canceled
INN07689,3,0,1,4,Meal Plan 1,0,Room_Type 7,26,2018,9,28,Online,0,0,0,169.52,2,Canceled
INN26332,2,0,1,2,Not Selected,0,Room_Type 1,79,2018,3,21,Online,0,0,0,76.5,0,Not_Canceled
INN22881,2,0,2,4,Meal Plan 1,0,Room_Type 2,292,2018,10,23,Online,0,0,0,163.63,1,Canceled
INN35011,2,0,1,2,Meal Plan 1,0,Room_Type 1,106,2018,7,11,Online,0,0,0,108.3,0,Canceled
INN24832,1,0,1,0,Meal Plan 1,0,Room_Type 1,5,2018,6,20,Corporate,0,0,0,95.0,0,Not_Canceled
INN20837,2,0,2,0,Meal Plan 1,0,Room_Type 1,180,2018,8,28,Online,0,0,0,96.3,0,Canceled
INN08076,2,0,0,2,Meal Plan 1,0,Room_Type 1,17,2018,8,19,Online,0,0,0,136.0,1,Canceled
INN14636,2,0,2,5,Meal Plan 1,0,Room_Type 4,68,2018,7,16,Online,0,0,0,123.17,0,Canceled
INN13162,2,0,2,0,Meal Plan 1,0,Room_Type 1,36,2018,8,14,Online,0,0,0,135.9,1,Not_Canceled
INN23349,2,0,1,5,Meal Plan 1,0,Room_Type 4,142,2018,9,20,Online,0,0,0,143.1,0,Canceled
INN06480,2,1,2,2,Meal Plan 1,0,Room_Type 1,92,2017,9,12,Offline,0,0,0,89.55,0,Not_Canceled
INN04712,2,0,1,3,Meal Plan 1,0,Room_Type 1,152,2018,5,2,Online,0,0,0,76.58,1,Canceled
INN28740,1,0,2,5,Meal Plan 1,0,Room_Type 1,163,2018,4,9,Online,0,0,0,73.37,1,Not_Canceled
INN29211,1,0,1,1,Meal Plan 2,0,Room_Type 1,3,2018,5,21,Offline,0,0,0,91.0,1,Not_Canceled
INN12477,2,0,2,5,Meal Plan 1,0,Room_Type 1,187,2018,8,28,Online,0,0,0,96.05,0,Canceled
INN00990,2,0,1,2,Not Selected,0,Room_Type 1,99,2018,11,7,Online,0,0,0,161.1,2,Not_Canceled
INN23696,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,6,23,Online,0,0,0,97.0,1,Not_Canceled
INN02683,1,0,0,2,Meal Plan 1,0,Room_Type 1,136,2018,8,26,Online,0,0,0,90.9,1,Not_Canceled
INN21143,2,0,1,1,Meal Plan 1,0,Room_Type 2,16,2017,12,5,Online,0,0,0,96.25,1,Not_Canceled
INN18893,2,0,0,2,Not Selected,1,Room_Type 1,17,2018,9,15,Online,0,0,0,128.0,2,Not_Canceled
INN26536,2,0,0,1,Meal Plan 1,0,Room_Type 1,105,2018,4,6,Offline,0,0,0,75.0,0,Canceled
INN09703,3,0,1,1,Meal Plan 1,0,Room_Type 4,53,2018,7,9,Online,0,0,0,148.5,0,Canceled
INN20699,2,0,0,1,Meal Plan 1,0,Room_Type 1,14,2017,11,4,Online,0,0,0,87.0,1,Canceled
INN17393,2,0,0,3,Meal Plan 1,0,Room_Type 1,47,2018,4,28,Online,0,0,0,120.0,0,Not_Canceled
INN30139,2,0,1,1,Meal Plan 1,0,Room_Type 1,75,2018,9,17,Offline,0,0,0,80.75,0,Not_Canceled
INN21741,1,0,0,2,Not Selected,0,Room_Type 1,83,2018,5,18,Online,0,0,0,83.59,0,Not_Canceled
INN23024,3,0,1,4,Meal Plan 1,0,Room_Type 4,71,2018,6,1,Offline,0,0,0,115.6,0,Canceled
INN22357,2,0,2,1,Meal Plan 1,0,Room_Type 1,35,2018,10,9,Online,0,0,0,138.0,3,Not_Canceled
INN25821,2,0,0,2,Meal Plan 2,0,Room_Type 1,292,2018,7,21,Offline,0,0,0,112.0,0,Canceled
INN20119,2,0,1,2,Meal Plan 1,0,Room_Type 1,229,2018,8,5,Online,0,0,0,96.3,1,Not_Canceled
INN33834,2,0,1,3,Meal Plan 1,0,Room_Type 1,285,2018,10,3,Offline,0,0,0,100.0,0,Canceled
INN11197,2,0,0,3,Not Selected,0,Room_Type 1,43,2018,4,28,Online,0,0,0,109.2,2,Not_Canceled
INN28698,2,0,2,5,Meal Plan 2,0,Room_Type 1,13,2017,10,22,Offline,0,0,0,131.97,0,Not_Canceled
INN07788,1,0,2,3,Meal Plan 1,0,Room_Type 1,3,2018,11,20,Corporate,1,5,52,65.0,2,Not_Canceled
INN22539,1,0,1,0,Meal Plan 1,0,Room_Type 1,111,2018,10,10,Offline,0,0,0,120.0,0,Canceled
INN27201,2,1,0,3,Meal Plan 1,0,Room_Type 6,193,2018,12,29,Online,0,0,0,160.2,0,Not_Canceled
INN27334,3,0,0,3,Meal Plan 1,0,Room_Type 4,103,2018,7,14,Online,0,0,0,137.7,1,Not_Canceled
INN18261,2,0,1,3,Meal Plan 1,0,Room_Type 4,19,2017,10,1,Online,0,0,0,121.75,1,Not_Canceled
INN16100,2,1,1,1,Meal Plan 1,0,Room_Type 1,0,2018,1,30,Online,0,0,0,110.5,2,Not_Canceled
INN03824,1,0,1,3,Meal Plan 1,0,Room_Type 1,118,2018,6,6,Offline,0,0,0,110.0,0,Not_Canceled
INN21647,2,0,1,1,Meal Plan 1,0,Room_Type 4,16,2018,6,4,Online,0,0,0,112.42,1,Not_Canceled
INN08447,2,0,1,5,Meal Plan 1,0,Room_Type 1,79,2018,4,4,Online,0,0,0,67.85,1,Not_Canceled
INN30801,1,0,0,2,Meal Plan 1,0,Room_Type 4,51,2018,4,14,Online,0,0,0,123.3,0,Canceled
INN29088,2,0,0,2,Not Selected,0,Room_Type 1,0,2018,8,19,Online,0,0,0,148.0,0,Not_Canceled
INN27548,2,0,1,2,Meal Plan 1,0,Room_Type 1,81,2018,4,29,Offline,0,0,0,75.0,0,Not_Canceled
INN05160,2,0,1,2,Not Selected,0,Room_Type 1,20,2018,6,13,Online,0,0,0,109.0,1,Not_Canceled
INN01799,2,0,1,3,Not Selected,0,Room_Type 1,64,2018,7,25,Online,0,0,0,94.5,1,Not_Canceled
INN23167,2,0,1,3,Not Selected,0,Room_Type 1,61,2018,3,17,Online,0,0,0,78.41,0,Canceled
INN17144,2,0,1,2,Meal Plan 1,0,Room_Type 4,16,2018,2,5,Online,0,0,0,64.22,0,Not_Canceled
INN21866,3,0,0,2,Meal Plan 1,0,Room_Type 4,130,2018,6,9,Online,0,0,0,159.3,0,Canceled
INN00655,2,0,1,2,Meal Plan 1,0,Room_Type 1,31,2018,9,16,Offline,0,0,0,75.0,0,Not_Canceled
INN05813,2,0,0,2,Meal Plan 1,0,Room_Type 1,16,2017,10,1,Online,0,0,0,107.0,0,Not_Canceled
INN21673,2,2,2,3,Meal Plan 1,0,Room_Type 6,97,2018,10,21,Online,0,0,0,185.22,0,Canceled
INN02893,2,0,0,1,Meal Plan 1,0,Room_Type 1,146,2018,8,5,Offline,0,0,0,81.25,1,Not_Canceled
INN16180,1,0,0,1,Meal Plan 1,0,Room_Type 1,28,2017,10,29,Offline,0,0,0,130.0,0,Not_Canceled
INN35101,2,0,2,2,Meal Plan 1,0,Room_Type 4,104,2018,4,8,Online,0,0,0,90.95,0,Canceled
INN05637,2,0,2,5,Meal Plan 1,0,Room_Type 1,204,2018,8,18,Online,0,0,0,94.59,1,Canceled
INN09613,2,0,0,1,Meal Plan 2,0,Room_Type 1,219,2017,9,4,Offline,0,0,0,108.0,0,Canceled
INN03045,2,0,1,2,Meal Plan 1,0,Room_Type 1,193,2018,6,20,Online,0,0,0,120.0,0,Canceled
INN11023,1,0,4,6,Meal Plan 1,0,Room_Type 1,243,2018,9,4,Online,0,0,0,89.17,0,Canceled
INN27168,2,0,0,3,Meal Plan 1,0,Room_Type 1,183,2018,8,9,Offline,0,0,0,112.0,1,Canceled
INN24905,1,0,1,1,Meal Plan 1,0,Room_Type 1,4,2018,8,29,Offline,0,0,0,80.0,0,Not_Canceled
INN21692,1,0,1,0,Not Selected,0,Room_Type 1,3,2018,10,10,Online,0,0,0,134.0,0,Not_Canceled
INN08446,2,0,0,2,Meal Plan 2,0,Room_Type 4,60,2018,9,29,Online,0,0,0,149.77,3,Not_Canceled
INN32201,1,0,1,5,Meal Plan 1,0,Room_Type 1,16,2018,11,7,Online,0,0,0,156.92,0,Canceled
INN23703,2,0,0,1,Not Selected,0,Room_Type 1,36,2018,5,7,Online,0,0,0,104.49,0,Not_Canceled
INN06160,2,2,0,2,Meal Plan 1,0,Room_Type 6,11,2017,8,28,Online,0,0,0,153.0,2,Not_Canceled
INN13516,2,0,0,1,Not Selected,0,Room_Type 1,1,2018,7,20,Online,0,0,0,108.0,0,Not_Canceled
